codigo_comunidad;comunidad;name;year;precio;IPC;edad_media;mano_obra;precio_Acero;precio_Aluminio;precio_Cemento;precio_Ceramica;precio_Cobre;precio_Energía;precio_Ligantes;precio_Madera;num_hipotecas;num_inmigracion
1;andalucia;Andalucía;01/01/2008;19660;85314;3,8919E+16;35861;10949;7755;16918;14834;16942;29123;31611;17247;70135;482018
1;andalucia;Andalucía;01/04/2008;19540;87369;3,8919E+16;36535;12335;8198;17221;15033;19472;30200;32321;17298;61938;490388
1;andalucia;Andalucía;01/07/2008;19430;87693;3,90223E+15;36783;14465;8430;17160;14988;18842;37265;41968;17341;53265;498758
1;andalucia;Andalucía;01/10/2008;19130;87871;3,90223E+15;36814;13274;7648;16939;14726;13057;29456;32450;17334;46917;507128
1;andalucia;Andalucía;01/01/2009;18550;85829;3,91351E+15;3616;11029;6287;17121;14629;8591;21798;20183;17354;46813;515498
1;andalucia;Andalucía;01/04/2009;18190;86946;3,91351E+15;36529;9833;6229;16638;14576;11798;22590;25403;17345;46377;519252
1;andalucia;Andalucía;01/07/2009;18030;86407;3,92703E+14;36373;9510;6433;16309;14544;13094;24981;33640;17277;50057;523007
1;andalucia;Andalucía;01/10/2009;17660;87175;3,92703E+14;36621;9548;6897;16298;14418;14870;25283;35023;17239;42462;526762
1;andalucia;Andalucía;01/01/2010;17530;86586;3,94242E+15;36464;9421;7655;16126;14327;18183;26699;38962;17250;45020;530516
1;andalucia;Andalucía;01/04/2010;17080;88202;3,94242E+15;36961;10486;8205;15934;14327;20366;28622;44638;17243;41312;533851
1;andalucia;Andalucía;01/07/2010;16760;88026;3,95843E+15;3696;10516;7704;15716;14331;18502;28643;43654;17249;39027;537186
1;andalucia;Andalucía;01/10/2010;16490;89331;3,95843E+15;3737;10684;7917;15503;14268;20960;28313;42363;17276;31484;540521
1;andalucia;Andalucía;01/01/2011;16280;89591;3,97309E+15;37496;11121;8414;15447;14280;24737;30715;46173;17348;40293;543856
1;andalucia;Andalucía;01/04/2011;16080;91667;3,97309E+15;38136;11892;8130;15556;14321;24053;34081;54266;17434;30410;546314
1;andalucia;Andalucía;01/07/2011;15720;90735;3,98931E+15;37941;12168;7923;15658;14255;24495;33478;54235;17417;25951;548772
1;andalucia;Andalucía;01/10/2011;15460;91931;3,98931E+15;38297;12053;8036;15852;14239;21453;33423;55991;17455;23592;551231
1;andalucia;Andalucía;01/01/2012;15140;91122;4,00494E+16;3810;11670;8016;16074;14238;23287;36679;60002;17459;24085;553689
1;andalucia;Andalucía;01/04/2012;14670;93317;4,00494E+16;38816;11703;7922;16036;14259;22708;37057;63074;17475;21795;548221
1;andalucia;Andalucía;01/07/2012;14290;92594;4,01864E+15;38651;11549;7552;16348;14272;23121;35076;57085;17492;21143;542753
1;andalucia;Andalucía;01/10/2012;13910;94771;4,01864E+15;39445;11168;7491;16522;14237;23409;36203;60005;17485;15287;537285
1;andalucia;Andalucía;01/01/2013;13340;93369;4,03617E+14;39017;11185;7369;16130;14215;24072;35073;52739;17545;18618;531817
1;andalucia;Andalucía;01/04/2013;13000;94415;4,03617E+14;39315;10874;7211;16631;14158;22698;34522;55771;17593;15892;514810
1;andalucia;Andalucía;01/07/2013;12670;94066;4,05478E+15;39253;10594;7016;16784;14208;21121;34788;53995;17601;11002;497804
1;andalucia;Andalucía;01/10/2013;12450;94632;4,05478E+15;3943;10698;6918;16676;14352;21014;34837;54121;17624;11411;480798
1;andalucia;Andalucía;01/01/2014;12010;93492;4,07346E+15;39083;10584;6794;16279;14213;21279;33485;52112;17700;13277;463791
1;andalucia;Andalucía;01/04/2014;11960;94706;4,07346E+15;39439;10525;6837;16112;14337;19472;32937;52149;17782;13100;457499
1;andalucia;Andalucía;01/07/2014;11860;93513;4,09202E+15;39141;10445;7205;16056;14487;20865;34449;52703;17848;13824;451207
1;andalucia;Andalucía;01/10/2014;11680;94482;4,09202E+15;39399;10470;7729;16334;14550;21211;34009;51631;17817;14293;444915
1;andalucia;Andalucía;01/01/2015;11560;92203;4,10983E+16;38646;10193;7919;16536;14539;20210;29293;40965;17882;15575;438623
1;andalucia;Andalucía;01/04/2015;11480;93998;4,10983E+16;39228;10220;8187;16452;14533;22179;31135;41412;18068;15521;432786
1;andalucia;Andalucía;01/07/2015;11490;93585;4,12455E+16;39165;10132;7731;16355;14527;20017;31363;42686;18141;16608;426950
1;andalucia;Andalucía;01/10/2015;11540;93758;4,12455E+16;39164;9489;7352;16311;14514;18832;28493;33187;18129;15638;421114
1;andalucia;Andalucía;01/01/2016;11630;919;4,14054E+15;38553;9089;7214;16339;14537;16869;25248;28684;18207;18673;415277
1;andalucia;Andalucía;01/04/2016;11610;93031;4,14054E+15;38877;9325;7128;16416;14360;17327;25211;28185;18386;18705;411318
1;andalucia;Andalucía;01/07/2016;11530;93056;4,15787E+16;38969;10233;7193;16472;14410;18077;27995;35216;18445;16489;407360
1;andalucia;Andalucía;01/10/2016;11600;94471;4,15787E+16;39392;9901;7230;16499;14366;17259;29515;37860;18460;17692;403402
1;andalucia;Andalucía;01/01/2017;11680;94686;4,17433E+15;39527;10804;7554;16367;14370;20897;32580;45171;18455;18691;399443
1;andalucia;Andalucía;01/04/2017;11690;95338;4,17433E+15;3972;10977;7915;16097;14354;20833;30211;43765;18526;19994;401506
1;andalucia;Andalucía;01/07/2017;11830;94428;4,18946E+15;39482;10838;7786;16091;14479;21009;29093;42093;18542;20123;403569
1;andalucia;Andalucía;01/10/2017;11930;95962;4,18946E+15;39918;11387;7814;16112;14481;23082;30826;44887;18535;17909;405632
1;andalucia;Andalucía;01/01/2018;12020;95161;4,20573E+15;39721;11815;8054;16012;14520;22103;31917;46222;18590;20636;407695
1;andalucia;Andalucía;01/04/2018;12200;96376;4,20573E+15;40085;11918;7917;16252;14515;21567;31110;47065;18544;21701;413003
1;andalucia;Andalucía;01/07/2018;12260;96467;4,21989E+16;40236;11815;8396;16244;14547;21142;34394;55238;18633;23080;418312
1;andalucia;Andalucía;01/10/2018;12380;97936;4,21989E+16;40685;11934;8159;16168;14543;20921;35601;57609;18634;20334;423620
1;andalucia;Andalucía;01/01/2019;12330;95877;4,23657E+16;40052;11755;8039;16364;14604;20441;33011;49887;18687;22458;428928
1;andalucia;Andalucía;01/04/2019;12510;97585;4,23657E+16;40604;11664;7901;16437;14736;22044;34134;57218;18803;24818;436738
1;andalucia;Andalucía;01/07/2019;12560;96765;4,25187E+14;40417;11359;7928;16469;14785;20644;33469;54174;18858;19343;444548
1;andalucia;Andalucía;01/10/2019;12620;97955;4,25187E+14;40731;10997;7734;16422;14835;20222;33387;50285;18909;22207;452358
1;andalucia;Andalucía;01/01/2020;12740;96876;4,26743E+15;40426;10985;7837;16548;14838;20645;34564;47139;18943;24819;460168
1;andalucia;Andalucía;01/04/2020;12780;96964;4,26743E+15;40357;10832;7526;16613;15062;18528;27389;43547;18976;19205;462159
1;andalucia;Andalucía;01/07/2020;12680;96331;4,28235E+15;40205;10477;7321;16493;15221;20712;29080;45249;19001;17321;464150
1;andalucia;Andalucía;01/10/2020;12750;97419;4,28235E+15;40451;10697;7516;16503;15229;21268;29005;50751;19028;20714;466142
1;andalucia;Andalucía;01/01/2021;12660;97488;4,2975E+15;40584;11880;7753;16595;15235;24083;32594;51014;19055;24042;468133
1;andalucia;Andalucía;01/04/2021;13020;99211;4,2975E+15;41122;12803;8173;16593;15197;28613;34780;57701;19377;27176;472852
1;andalucia;Andalucía;01/07/2021;13300;99085;4,31357E+15;41188;15445;9155;16685;15278;28830;37722;62714;20122;27242;477570
1;andalucia;Andalucía;01/10/2021;13640;102589;4,31357E+15;42291;16056;10610;16844;15918;30916;44256;68130;20489;27863;482288
1;andalucia;Andalucía;01/01/2022;13670;103523;4,32776E+16;42692;16897;11247;18123;18552;30852;46977;68574;21025;29384;487007
2;aragon;Aragón;01/01/2003;10550;7223;4,33669E+15;3130;7199;7258;13499;12274;5582;20170;14539;15074;9938;42458
2;aragon;Aragón;01/04/2003;10770;73599;4,33669E+15;31754;7307;7283;13437;12272;5276;19409;15257;15072;8968;45495
2;aragon;Aragón;01/07/2003;10930;73026;4,33865E+15;31592;7244;7048;13246;12260;5412;18653;15178;15126;8882;48532
2;aragon;Aragón;01/10/2003;11220;74196;4,33865E+15;31996;7174;7054;13312;12244;5905;18173;14452;15129;7966;51569
2;aragon;Aragón;01/01/2004;11700;73783;4,34014E+15;31941;7357;7117;13427;12260;6893;17733;12628;15179;9607;54606
2;aragon;Aragón;01/04/2004;12300;75341;4,34014E+15;32514;9125;7211;13734;12408;8793;18245;13428;15218;9826;58140
2;aragon;Aragón;01/07/2004;12600;75128;4,34373E+15;32513;9282;7526;13728;12482;8193;19059;13695;15273;9110;61674
2;aragon;Aragón;01/10/2004;13070;76655;4,34373E+15;32956;10139;7735;13713;12575;8631;20314;13255;15319;9241;65209
2;aragon;Aragón;01/01/2005;13710;75991;4,34354E+15;3276;10177;7534;13922;12689;8666;19606;12534;15364;10744;68743
2;aragon;Aragón;01/04/2005;14220;78131;4,34354E+15;3346;9777;7875;14331;12849;9253;21880;17023;15556;11252;70409
2;aragon;Aragón;01/07/2005;14870;77738;4,3417E+15;33403;9545;7681;14355;12953;10604;23285;19484;15591;10320;72076
2;aragon;Aragón;01/10/2005;15660;79468;4,3417E+15;33917;9852;7837;14438;13018;11929;25389;23403;15619;10822;73742
2;aragon;Aragón;01/01/2006;16530;79213;4,34483E+15;33916;9782;8687;14736;13323;13814;25360;23056;15722;12732;75408
2;aragon;Aragón;01/04/2006;17340;81279;4,34483E+15;34524;10160;8952;15632;13604;18383;25878;26087;15860;12011;79717
2;aragon;Aragón;01/07/2006;18000;81076;4,34783E+15;34523;10600;8866;15635;13768;21471;26053;25822;16007;11983;84026
2;aragon;Aragón;01/10/2006;18620;8171;4,34783E+15;34641;11028;8685;15654;13968;21002;23814;21955;16073;9896;88336
2;aragon;Aragón;01/01/2007;19340;81261;4,34832E+13;34581;10796;8846;16343;14313;15404;22915;20353;16381;13261;92645
2;aragon;Aragón;01/04/2007;19670;8333;4,34832E+13;35261;11550;8895;16942;14678;20292;23958;24441;16701;11922;99181
2;aragon;Aragón;01/07/2007;19630;82935;4,34416E+15;3520;11471;8654;16938;14712;20531;25892;28288;16870;11556;105718
2;aragon;Aragón;01/10/2007;19660;84693;4,34416E+15;3571;11052;7948;16849;14764;19879;26825;32004;17061;11131;112254
2;aragon;Aragón;01/01/2008;19650;8498;4,33905E+15;35861;10949;7755;16918;14834;16942;29123;31611;17247;9087;118790
2;aragon;Aragón;01/04/2008;19420;86921;4,33905E+15;36535;12335;8198;17221;15033;19472;30200;32321;17298;9723;121605
2;aragon;Aragón;01/07/2008;19100;87945;4,33914E+15;36783;14465;8430;17160;14988;18842;37265;41968;17341;8861;124420
2;aragon;Aragón;01/10/2008;19090;87975;4,33914E+15;36814;13274;7648;16939;14726;13057;29456;32450;17334;8631;127234
2;aragon;Aragón;01/01/2009;18950;85855;4,34314E+15;3616;11029;6287;17121;14629;8591;21798;20183;17354;8742;130049
2;aragon;Aragón;01/04/2009;18900;86812;4,34314E+15;36529;9833;6229;16638;14576;11798;22590;25403;17345;9709;129973
2;aragon;Aragón;01/07/2009;19130;86295;4,35365E+16;36373;9510;6433;16309;14544;13094;24981;33640;17277;9587;129896
2;aragon;Aragón;01/10/2009;19180;87408;4,35365E+16;36621;9548;6897;16298;14418;14870;25283;35023;17239;7506;129820
2;aragon;Aragón;01/01/2010;18770;86752;4,36746E+15;36464;9421;7655;16126;14327;18183;26699;38962;17250;7472;129744
2;aragon;Aragón;01/04/2010;18100;88158;4,36746E+15;36961;10486;8205;15934;14327;20366;28622;44638;17243;7759;129246
2;aragon;Aragón;01/07/2010;17740;88001;4,38063E+15;3696;10516;7704;15716;14331;18502;28643;43654;17249;6692;128748
2;aragon;Aragón;01/10/2010;17290;89283;4,38063E+15;3737;10684;7917;15503;14268;20960;28313;42363;17276;4978;128251
2;aragon;Aragón;01/01/2011;16760;89385;4,39297E+15;37496;11121;8414;15447;14280;24737;30715;46173;17348;7136;127753
2;aragon;Aragón;01/04/2011;16330;91463;4,39297E+15;38136;11892;8130;15556;14321;24053;34081;54266;17434;3893;127854
2;aragon;Aragón;01/07/2011;15690;90719;4,40532E+15;37941;12168;7923;15658;14255;24495;33478;54235;17417;3859;127956
2;aragon;Aragón;01/10/2011;15350;91982;4,40532E+15;38297;12053;8036;15852;14239;21453;33423;55991;17455;3310;128058
2;aragon;Aragón;01/01/2012;14890;91299;4,41712E+15;3810;11670;8016;16074;14238;23287;36679;60002;17459;3505;128159
2;aragon;Aragón;01/04/2012;14290;93361;4,41712E+15;38816;11703;7922;16036;14259;22708;37057;63074;17475;3097;127713
2;aragon;Aragón;01/07/2012;13720;92569;4,42844E+15;38651;11549;7552;16348;14272;23121;35076;57085;17492;3059;127266
2;aragon;Aragón;01/10/2012;13380;94878;4,42844E+15;39445;11168;7491;16522;14237;23409;36203;60005;17485;3553;126820
2;aragon;Aragón;01/01/2013;12790;93619;4,44433E+16;39017;11185;7369;16130;14215;24072;35073;52739;17545;3784;126374
2;aragon;Aragón;01/04/2013;12530;94581;4,44433E+16;39315;10874;7211;16631;14158;22698;34522;55771;17593;3034;120484
2;aragon;Aragón;01/07/2013;12200;94142;4,46038E+15;39253;10594;7016;16784;14208;21121;34788;53995;17601;2156;114593
2;aragon;Aragón;01/10/2013;11960;94844;4,46038E+15;3943;10698;6918;16676;14352;21014;34837;54121;17624;1968;108702
2;aragon;Aragón;01/01/2014;11690;93652;4,47625E+15;39083;10584;6794;16279;14213;21279;33485;52112;17700;1943;102812
2;aragon;Aragón;01/04/2014;11540;94694;4,47625E+15;39439;10525;6837;16112;14337;19472;32937;52149;17782;2266;100912
2;aragon;Aragón;01/07/2014;11380;93787;4,49149E+15;39141;10445;7205;16056;14487;20865;34449;52703;17848;2721;99012
2;aragon;Aragón;01/10/2014;11310;94557;4,49149E+15;39399;10470;7729;16334;14550;21211;34009;51631;17817;2063;97112
2;aragon;Aragón;01/01/2015;11210;92141;4,50551E+15;38646;10193;7919;16536;14539;20210;29293;40965;17882;2923;95212
2;aragon;Aragón;01/04/2015;11180;93882;4,50551E+15;39228;10220;8187;16452;14533;22179;31135;41412;18068;2456;93926
2;aragon;Aragón;01/07/2015;10950;9355;4,51887E+14;39165;10132;7731;16355;14527;20017;31363;42686;18141;2583;92639
2;aragon;Aragón;01/10/2015;10850;93739;4,51887E+14;39164;9489;7352;16311;14514;18832;28493;33187;18129;1982;91352
2;aragon;Aragón;01/01/2016;10650;91981;4,53306E+15;38553;9089;7214;16339;14537;16869;25248;28684;18207;2823;90066
2;aragon;Aragón;01/04/2016;10730;92709;4,53306E+15;38877;9325;7128;16416;14360;17327;25211;28185;18386;2901;90120
2;aragon;Aragón;01/07/2016;10740;92851;4,5478E+15;38969;10233;7193;16472;14410;18077;27995;35216;18445;2879;90173
2;aragon;Aragón;01/10/2016;10720;94441;4,5478E+15;39392;9901;7230;16499;14366;17259;29515;37860;18460;2955;90226
2;aragon;Aragón;01/01/2017;10650;94616;4,56114E+15;39527;10804;7554;16367;14370;20897;32580;45171;18455;3092;90280
2;aragon;Aragón;01/04/2017;10590;94977;4,56114E+15;3972;10977;7915;16097;14354;20833;30211;43765;18526;3063;90709
2;aragon;Aragón;01/07/2017;10610;94163;4,57034E+15;39482;10838;7786;16091;14479;21009;29093;42093;18542;3213;91138
2;aragon;Aragón;01/10/2017;10570;95735;4,57034E+15;39918;11387;7814;16112;14481;23082;30826;44887;18535;2523;91566
2;aragon;Aragón;01/01/2018;10580;95052;4,58451E+14;39721;11815;8054;16012;14520;22103;31917;46222;18590;3109;91995
2;aragon;Aragón;01/04/2018;10680;96022;4,58451E+14;40085;11918;7917;16252;14515;21567;31110;47065;18544;3553;94370
2;aragon;Aragón;01/07/2018;10710;96387;4,5918E+15;40236;11815;8396;16244;14547;21142;34394;55238;18633;2968;96746
2;aragon;Aragón;01/10/2018;10860;97788;4,5918E+15;40685;11934;8159;16168;14543;20921;35601;57609;18634;2668;99122
2;aragon;Aragón;01/01/2019;11040;95992;4,59834E+14;40052;11755;8039;16364;14604;20441;33011;49887;18687;3365;101497
2;aragon;Aragón;01/04/2019;11210;97512;4,59834E+14;40604;11664;7901;16437;14736;22044;34134;57218;18803;3461;103744
2;aragon;Aragón;01/07/2019;11420;96853;4,60512E+15;40417;11359;7928;16469;14785;20644;33469;54174;18858;2645;105991
2;aragon;Aragón;01/10/2019;11510;97893;4,60512E+15;40731;10997;7734;16422;14835;20222;33387;50285;18909;2822;108238
2;aragon;Aragón;01/01/2020;11620;96945;4,61195E+16;40426;10985;7837;16548;14838;20645;34564;47139;18943;4390;110485
2;aragon;Aragón;01/04/2020;11570;96353;4,61195E+16;40357;10832;7526;16613;15062;18528;27389;43547;18976;2453;110222
2;aragon;Aragón;01/07/2020;11760;9616;4,61698E+15;40205;10477;7321;16493;15221;20712;29080;45249;19001;2790;109960
2;aragon;Aragón;01/10/2020;11700;97106;4,61698E+15;40451;10697;7516;16503;15229;21268;29005;50751;19028;3287;109698
2;aragon;Aragón;01/01/2021;11760;97387;4,62171E+15;40584;11880;7753;16595;15235;24083;32594;51014;19055;3317;109435
2;aragon;Aragón;01/04/2021;11710;98833;4,62171E+15;41122;12803;8173;16593;15197;28613;34780;57701;19377;3824;109517
2;aragon;Aragón;01/07/2021;11840;99263;4,64123E+15;41188;15445;9155;16685;15278;28830;37722;62714;20122;3742;109599
2;aragon;Aragón;01/10/2021;12220;102754;4,64123E+15;42291;16056;10610;16844;15918;30916;44256;68130;20489;3641;109681
2;aragon;Aragón;01/01/2022;12430;103854;4,64947E+16;42692;16897;11247;18123;18552;30852;46977;68574;21025;4069;109763
6;cantabria;Cantabria;01/01/2003;11800;71928;4,24771E+15;3130;7199;7258;13499;12274;5582;20170;14539;15074;5893;11647
6;cantabria;Cantabria;01/04/2003;12130;72938;4,24771E+15;31754;7307;7283;13437;12272;5276;19409;15257;15072;5271;12271
6;cantabria;Cantabria;01/07/2003;12610;72667;4,2569E+14;31592;7244;7048;13246;12260;5412;18653;15178;15126;5324;12896
6;cantabria;Cantabria;01/10/2003;12980;7376;4,2569E+14;31996;7174;7054;13312;12244;5905;18173;14452;15129;4890;13520
6;cantabria;Cantabria;01/01/2004;13280;73522;4,26537E+14;31941;7357;7117;13427;12260;6893;17733;12628;15179;5273;14144
6;cantabria;Cantabria;01/04/2004;13840;74793;4,26537E+14;32514;9125;7211;13734;12408;8793;18245;13428;15218;4983;15076
6;cantabria;Cantabria;01/07/2004;14330;74805;4,2753E+15;32513;9282;7526;13728;12482;8193;19059;13695;15273;4018;16009
6;cantabria;Cantabria;01/10/2004;14850;76233;4,2753E+15;32956;10139;7735;13713;12575;8631;20314;13255;15319;4897;16942
6;cantabria;Cantabria;01/01/2005;15520;75466;4,28396E+14;3276;10177;7534;13922;12689;8666;19606;12534;15364;4836;17874
6;cantabria;Cantabria;01/04/2005;15970;7721;4,28396E+14;3346;9777;7875;14331;12849;9253;21880;17023;15556;5338;18610
6;cantabria;Cantabria;01/07/2005;16460;77335;4,29021E+15;33403;9545;7681;14355;12953;10604;23285;19484;15591;5075;19345
6;cantabria;Cantabria;01/10/2005;16860;78577;4,29021E+15;33917;9852;7837;14438;13018;11929;25389;23403;15619;5402;20080
6;cantabria;Cantabria;01/01/2006;17460;78561;4,30154E+15;33916;9782;8687;14736;13323;13814;25360;23056;15722;7818;20816
6;cantabria;Cantabria;01/04/2006;18110;8021;4,30154E+15;34524;10160;8952;15632;13604;18383;25878;26087;15860;5878;21542
6;cantabria;Cantabria;01/07/2006;18620;80426;4,31026E+15;34523;10600;8866;15635;13768;21471;26053;25822;16007;4789;22268
6;cantabria;Cantabria;01/10/2006;19200;80504;4,31026E+15;34641;11028;8685;15654;13968;21002;23814;21955;16073;5688;22993
6;cantabria;Cantabria;01/01/2007;19680;80383;4,31814E+16;34581;10796;8846;16343;14313;15404;22915;20353;16381;6994;23719
6;cantabria;Cantabria;01/04/2007;20230;81954;4,31814E+16;35261;11550;8895;16942;14678;20292;23958;24441;16701;6118;25224
6;cantabria;Cantabria;01/07/2007;20540;82173;4,32303E+15;3520;11471;8654;16938;14712;20531;25892;28288;16870;5163;26730
6;cantabria;Cantabria;01/10/2007;20730;83441;4,32303E+15;3571;11052;7948;16849;14764;19879;26825;32004;17061;4679;28235
6;cantabria;Cantabria;01/01/2008;20680;84154;4,32847E+15;35861;10949;7755;16918;14834;16942;29123;31611;17247;5105;29740
6;cantabria;Cantabria;01/04/2008;20890;85793;4,32847E+15;36535;12335;8198;17221;15033;19472;30200;32321;17298;4928;30723
6;cantabria;Cantabria;01/07/2008;20860;86802;4,33367E+16;36783;14465;8430;17160;14988;18842;37265;41968;17341;5299;31706
6;cantabria;Cantabria;01/10/2008;20590;86423;4,33367E+16;36814;13274;7648;16939;14726;13057;29456;32450;17334;4386;32690
6;cantabria;Cantabria;01/01/2009;20190;84777;4,34246E+15;3616;11029;6287;17121;14629;8591;21798;20183;17354;4749;33673
6;cantabria;Cantabria;01/04/2009;20020;85385;4,34246E+15;36529;9833;6229;16638;14576;11798;22590;25403;17345;4703;33812
6;cantabria;Cantabria;01/07/2009;19920;85487;4,35307E+15;36373;9510;6433;16309;14544;13094;24981;33640;17277;4674;33952
6;cantabria;Cantabria;01/10/2009;19950;85987;4,35307E+15;36621;9548;6897;16298;14418;14870;25283;35023;17239;3521;34092
6;cantabria;Cantabria;01/01/2010;19670;85792;4,36702E+15;36464;9421;7655;16126;14327;18183;26699;38962;17250;3982;34231
6;cantabria;Cantabria;01/04/2010;19420;86772;4,36702E+15;36961;10486;8205;15934;14327;20366;28622;44638;17243;3876;34121
6;cantabria;Cantabria;01/07/2010;19140;87044;4,38215E+15;3696;10516;7704;15716;14331;18502;28643;43654;17249;3243;34012
6;cantabria;Cantabria;01/10/2010;18820;88069;4,38215E+15;3737;10684;7917;15503;14268;20960;28313;42363;17276;3082;33902
6;cantabria;Cantabria;01/01/2011;18740;88835;4,39609E+15;37496;11121;8414;15447;14280;24737;30715;46173;17348;2995;33792
6;cantabria;Cantabria;01/04/2011;18470;90379;4,39609E+15;38136;11892;8130;15556;14321;24053;34081;54266;17434;2098;33802
6;cantabria;Cantabria;01/07/2011;18050;90023;4,41177E+15;37941;12168;7923;15658;14255;24495;33478;54235;17417;1715;33811
6;cantabria;Cantabria;01/10/2011;17700;90773;4,41177E+15;38297;12053;8036;15852;14239;21453;33423;55991;17455;1862;33820
6;cantabria;Cantabria;01/01/2012;17220;90484;4,42673E+15;3810;11670;8016;16074;14238;23287;36679;60002;17459;1513;33830
6;cantabria;Cantabria;01/04/2012;17310;9198;4,42673E+15;38816;11703;7922;16036;14259;22708;37057;63074;17475;1866;33555
6;cantabria;Cantabria;01/07/2012;16900;9209;4,44054E+16;38651;11549;7552;16348;14272;23121;35076;57085;17492;1122;33280
6;cantabria;Cantabria;01/10/2012;16620;94381;4,44054E+16;39445;11168;7491;16522;14237;23409;36203;60005;17485;986;33004
6;cantabria;Cantabria;01/01/2013;16230;93608;4,45883E+14;39017;11185;7369;16130;14215;24072;35073;52739;17545;1452;32729
6;cantabria;Cantabria;01/04/2013;15870;94128;4,45883E+14;39315;10874;7211;16631;14158;22698;34522;55771;17593;742;31792
6;cantabria;Cantabria;01/07/2013;15210;94474;4,47873E+16;39253;10594;7016;16784;14208;21121;34788;53995;17601;676;30854
6;cantabria;Cantabria;01/10/2013;14700;94795;4,47873E+16;3943;10698;6918;16676;14352;21014;34837;54121;17624;750;29917
6;cantabria;Cantabria;01/01/2014;14780;93912;4,4973E+15;39083;10584;6794;16279;14213;21279;33485;52112;17700;719;28980
6;cantabria;Cantabria;01/04/2014;14480;9446;4,4973E+15;39439;10525;6837;16112;14337;19472;32937;52149;17782;702;28240
6;cantabria;Cantabria;01/07/2014;14160;93958;4,51525E+16;39141;10445;7205;16056;14487;20865;34449;52703;17848;891;27500
6;cantabria;Cantabria;01/10/2014;13720;94472;4,51525E+16;39399;10470;7729;16334;14550;21211;34009;51631;17817;830;26760
6;cantabria;Cantabria;01/01/2015;13240;9233;4,53256E+15;38646;10193;7919;16536;14539;20210;29293;40965;17882;1173;26020
6;cantabria;Cantabria;01/04/2015;13200;93496;4,53256E+15;39228;10220;8187;16452;14533;22179;31135;41412;18068;993;25728
6;cantabria;Cantabria;01/07/2015;13240;93819;4,54961E+16;39165;10132;7731;16355;14527;20017;31363;42686;18141;1121;25437
6;cantabria;Cantabria;01/10/2015;13370;93342;4,54961E+16;39164;9489;7352;16311;14514;18832;28493;33187;18129;1016;25146
6;cantabria;Cantabria;01/01/2016;13290;91962;4,56759E+15;38553;9089;7214;16339;14537;16869;25248;28684;18207;1027;24854
